Time,liquid % in condensor,condensor pressure(kpa),liquid % in reboiler,Mass Flow Rate in Feed Flow  (kg/h),Mass Flow rate in top outlet stream  (kg/h),Net Mass Flow in main tower,Mole Fraction HX at reboiler,HX Mole Fraction in Top Outler Stream,Feed Mole Fraction,Feed Mole Fraction,Feed Tray Temperature,Main Tower Pressure,Bottom Tower Pressure,Top Tower Pressure,Reflux Ratio,Duties Summary,MoleFractionTX,MoleFractionHX
0,49.71895919,101.4149592,49.71895919,3693.858959,6695.368959,2924.818959,1048.588959,0.0543937,0.501001,0.498999,76.80395919,104.1489592,110.2169592,67.03805919,0.798463,0,0.966281,0.0337186
30,49.56184462,100.9620446,49.54154462,3712.947045,6629.637045,2767.487045,1046.987045,0.0542327,0.501001,0.498999,76.43764462,103.9770446,110.0450446,66.86614462,0.800811,0,0.965788,0.0342118
60,50.18936472,101.4908647,50.14516472,3718.008865,6692.598865,2763.018865,1050.988865,0.0539409,0.501001,0.498999,77.04146472,104.6088647,110.6768647,67.49796472,0.803544,0,0.965758,0.0342422
90,50.18349641,101.4032964,50.14279641,3721.819296,6702.869296,2754.009296,1051.449296,0.0539677,0.501001,0.498999,77.01609641,104.6092964,110.6772964,67.49839641,0.807065,0,0.965756,0.0342439
120,50.4287929,101.6036929,50.4060929,3724.444693,6710.444693,2744.244693,1052.674693,0.0541213,0.501001,0.498999,77.2522929,104.8646929,110.9326929,67.7537929,0.811774,0,0.965784,0.0342163
150,49.86630208,101.0415021,49.87140208,3724.463502,6716.273502,2733.993502,1053.263502,0.0544025,0.501001,0.498999,76.69120208,104.3135021,110.3815021,67.20260208,0.817048,0,0.965834,0.034166
180,49.99391637,101.2034164,50.02891637,3723.559416,6720.699416,2730.279416,1054.249416,0.0547522,0.501001,0.498999,76.82851637,104.4494164,110.5174164,67.33851637,0.821701,0,0.965895,0.0341048
210,50.30376535,101.5679653,50.36286535,3721.670965,6722.360965,2730.720965,1055.240965,0.0550869,0.501001,0.498999,77.14916535,104.7609653,110.8289653,67.65006535,0.824287,0,0.965953,0.034047
240,49.51247211,100.8355721,49.58537211,3718.154572,6720.184572,2734.354572,1054.544572,0.0553424,0.501001,0.498999,76.36707211,103.9645721,110.0325721,66.85367211,0.824215,0,0.965997,0.034003
270,49.54236164,100.9134616,49.61666164,3715.693462,6716.733462,2741.883462,1054.363462,0.0554664,0.501001,0.498999,76.40086164,103.9834616,110.0514616,66.87256164,0.821375,0,0.966019,0.0339807
300,50.03230019,101.4287002,50.09750019,3714.5197,6712.7697,2751.8597,1054.2897,0.0554488,0.501001,0.498999,76.88790019,104.4597002,110.5277002,67.34880019,0.816638,0,0.966018,0.0339818
330,50.18634938,101.5841494,50.23634938,3714.131149,6708.811149,2759.241149,1053.821149,0.0553104,0.501001,0.498999,77.03594938,104.6011494,110.6691494,67.49024938,0.811245,0,0.965997,0.0340027
360,49.53119819,100.9086982,49.56539819,3714.017698,6705.387698,2763.767698,1052.417698,0.0551031,0.501001,0.498999,76.37369819,103.9376982,110.0056982,66.82679819,0.80653,0,0.965966,0.0340342
390,49.90971565,101.2514157,49.93141565,3715.813416,6704.563416,2765.703416,1052.383416,0.054874,0.501001,0.498999,76.74421565,104.3134157,110.3814157,67.20251565,0.803292,0,0.965931,0.0340691
420,49.59034224,100.8918422,49.60604224,3717.416842,6704.876842,2764.246842,1051.876842,0.054676,0.501001,0.498999,76.41834224,103.9968422,110.0648422,66.88594224,0.802094,0,0.965902,0.0340985
450,49.93358597,101.199486,49.95128597,3719.647486,6707.417486,2760.687486,1052.287486,0.0545475,0.501001,0.498999,76.75868597,104.347486,110.415486,67.23658597,0.802899,0,0.965884,0.0341164
480,50.19247271,101.4367727,50.22007271,3721.336773,6710.846773,2755.676773,1052.886773,0.0545105,0.501001,0.498999,77.01917271,104.6167727,110.6847727,67.50587271,0.805422,0,0.965881,0.034119
510,50.08507664,101.3229766,50.12617664,3721.988977,6713.798977,2749.938977,1053.108977,0.0545484,0.501001,0.498999,76.91567664,104.5189766,110.5869766,67.40807664,0.808595,0,0.965891,0.0341092
540,50.41873649,101.6664365,50.47543649,3722.320436,6716.680436,2746.250436,1053.980436,0.0546481,0.501001,0.498999,77.25593649,104.8604365,110.9284365,67.74953649,0.811942,0,0.96591,0.0340897
570,50.33046689,101.5971669,50.40096689,3721.646167,6717.946167,2745.106167,1054.196167,0.0547733,0.501001,0.498999,77.17376689,104.7761669,110.8441669,67.66526689,0.814563,0,0.965933,0.0340669
600,50.01152878,101.3029288,50.09132878,3720.276929,6717.856929,2744.696929,1054.066929,0.0548852,0.501001,0.498999,76.85972878,104.4569288,110.5249288,67.34602878,0.815803,0,0.965953,0.0340469
630,49.57966489,100.8969649,49.66456489,3718.671965,6716.611965,2745.921965,1053.731965,0.0549689,0.501001,0.498999,76.43166489,104.0219649,110.0899649,66.91106489,0.815891,0,0.965968,0.0340319
660,50.14741896,101.482919,50.23201896,3718.243919,6715.563919,2750.173919,1054.173919,0.0549978,0.501001,0.498999,76.99971896,104.583919,110.651919,67.47301896,0.814714,0,0.965974,0.0340262
690,49.91599936,101.2609994,49.99639936,3717.385999,6713.315999,2752.785999,1053.625999,0.0549745,0.501001,0.498999,76.76679936,104.3459994,110.4139994,67.23509936,0.812732,0,0.965971,0.034029
720,50.20709059,101.5481906,50.28089059,3717.621191,6711.961191,2756.461191,1053.571191,0.0549035,0.501001,0.498999,77.05389059,104.6311906,110.6991906,67.52029059,0.810515,0,0.96596,0.0340399
750,50.41992083,101.7493208,50.48762083,3718.230321,6711.090321,2757.750321,1053.550321,0.0548091,0.501001,0.498999,77.26212083,104.8403208,110.9083208,67.72942083,0.808582,0,0.965945,0.0340548
780,50.27239804,101.585198,50.33679804,3718.792198,6710.792198,2757.852198,1053.282198,0.0547198,0.501001,0.498999,77.11159804,104.692198,110.760198,67.58129804,0.807521,0,0.965931,0.0340687
810,49.77105299,101.066453,49.83515299,3719.132453,6710.732453,2756.412453,1052.652453,0.0546506,0.501001,0.498999,76.60765299,104.192453,110.260453,67.08155299,0.807309,0,0.965921,0.034079
840,49.55246451,100.8344645,49.61986451,3719.697465,6711.687465,2754.797465,1052.547465,0.0546158,0.501001,0.498999,76.38856451,103.9774645,110.0454645,66.86656451,0.807966,0,0.965916,0.0340835
870,50.23728188,101.5100819,50.31008188,3720.986082,6713.586082,2753.286082,1053.326082,0.0546126,0.501001,0.498999,77.07358188,104.6660819,110.7340819,67.55518188,0.809034,0,0.965917,0.0340831
900,49.82523423,101.0982342,49.90583423,3720.828234,6714.568234,2750.858234,1053.218234,0.0546464,0.501001,0.498999,76.66343423,104.2582342,110.3262342,67.14733423,0.810534,0,0.965923,0.0340771
930,50.12673857,101.4066386,50.21523857,3721.002639,6715.912639,2748.792639,1053.682639,0.0547015,0.501001,0.498999,76.96693857,104.5626386,110.6306386,67.45173857,0.81186,0,0.965932,0.0340676
960,50.24951049,101.5384105,50.34461049,3720.80641,6716.54641,2748.95641,1053.87641,0.0547627,0.501001,0.498999,77.09271049,104.6864105,110.7544105,67.57551049,0.812797,0,0.965943,0.0340571
990,50.48473739,101.7860374,50.58453739,3720.561037,6716.611037,2749.581037,1054.201037,0.054815,0.501001,0.498999,77.33003739,104.9210374,110.9890374,67.81013739,0.813168,0,0.965952,0.0340485
1020,49.86113867,101.1723387,49.96313867,3719.455339,6715.515339,2750.365339,1053.485339,0.054847,0.501001,0.498999,76.70713867,104.2953387,110.3633387,67.18443867,0.8129,0,0.965957,0.0340432
1050,49.74553889,101.0630389,49.84773889,3718.997039,6714.537039,2751.507039,1053.347039,0.0548554,0.501001,0.498999,76.59133889,104.1770389,110.2450389,67.06613889,0.812226,0,0.965958,0.0340422
1080,50.48355029,101.8035503,50.58475029,3719.55255,6714.59255,2753.94255,1054.05255,0.0548419,0.501001,0.498999,77.32825029,104.9125503,110.9805503,67.80165029,0.811348,0,0.965955,0.0340448
1110,50.2262604,101.5426604,50.3251604,3719.36266,6713.61266,2754.67266,1053.55266,0.0548067,0.501001,0.498999,77.0688604,104.6526604,110.7206604,67.5417604,0.810277,0,0.965949,0.0340509
1140,50.25795583,101.5693558,50.35565583,3719.613356,6713.333356,2754.793356,1053.543356,0.0547683,0.501001,0.498999,77.09945583,104.6833558,110.7513558,67.57245583,0.809547,0,0.965942,0.0340576
1170,50.15611857,101.4595186,50.25341857,3719.881519,6713.241519,2754.931519,1053.351519,0.054732,0.501001,0.498999,76.99621857,104.5815186,110.6495186,67.47061857,0.809169,0,0.965936,0.0340638
1200,49.57628588,100.8726859,49.67468588,3719.722686,6713.092686,2754.082686,1052.752686,0.0547055,0.501001,0.498999,76.41558588,104.0026859,110.0706859,66.89178588,0.809163,0,0.965932,0.0340684
1230,50.13363472,101.4246347,50.23443472,3720.611635,6714.241635,2753.171635,1053.391635,0.0546937,0.501001,0.498999,76.97263472,104.5616347,110.6296347,67.45073472,0.809456,0,0.965929,0.0340706
1260,50.38470713,101.6727071,50.48930713,3721.104707,6715.124707,2752.774707,1053.674707,0.0547014,0.501001,0.498999,77.22460713,104.8147071,110.8827071,67.70380713,0.810064,0,0.96593,0.0340696
1290,49.77100997,101.06071,49.87990997,3720.55271,6715.04271,2751.09271,1053.14271,0.0547208,0.501001,0.498999,76.61130997,104.20271,110.27071,67.09180997,0.810702,0,0.965934,0.0340663
1320,49.93351141,101.2264114,50.04661141,3720.646411,6715.586411,2751.136411,1053.396411,0.0547479,0.501001,0.498999,76.77541141,104.3664114,110.4344114,67.25551141,0.811297,0,0.965938,0.0340622
